"","DATA_YEAR","FIPS_CODE","BRIDGE_ID","YEAR_BUILT","YEAR_RECONSTRCUTED","AVERAGE_DAILY_TRAFFIC","YEAR_ADT","FUTURE_ADT","DECK_COND","SUPERSTRUCTURE_COND","CHANNEL_COND","CULVERT_COND","OPERATING_RATING","INVENTORY_RATING"
"10606",2019,55,"B67092800000000",2000,0,106,2015,116,"7","7","9","N",75.1,45.4
"10607",2019,55,"B67095200000000",1916,0,5045,2016,4750,"6","6","8","N",32.7,24.3
"10608",2019,55,"B67096300000000",1928,2007,6897,2015,7586,"7","8","8","N",62.1,35.6
"10609",2019,55,"B68000100000000",1949,0,1671,2015,1838,"4","6","8","N",35.9,21.1
"10610",2019,55,"B68000200000000",1958,2002,3235,2015,3558,"8","7","8","N",37.6,22.7
"10611",2019,55,"B68000400000000",1950,0,326,2015,358,"7","7","8","N",32.7,19.4
"10612",2019,55,"B68000600000000",1952,0,302,2015,332,"N","N","8","8",53.9,24.3
"10613",2019,55,"B68000700000000",1953,0,1754,2015,1929,"7","7","8","N",34.3,19.4
"10614",2019,55,"B68000800000000",1953,2001,1400,2015,3210,"7","7","8","N",55.5,32.4
"10615",2019,55,"B68001100000000",1954,2001,1300,2018,3990,"7","7","8","N",37.6,21.1
"10616",2019,55,"B68001200000000",1923,1956,19700,2016,15750,"6","6","8","N",26.1,24.3
"10617",2019,55,"B68001500000000",1956,0,1275,2015,1402,"7","4","8","N",34.3,19.4
"10618",2019,55,"B68001700000000",1958,0,4849,2015,5333,"5","6","8","N",40.8,24.3
"10619",2019,55,"B68001800000000",1960,0,919,2015,1010,"4","4","8","N",44.1,25.9
"10620",2019,55,"B68001900000000",1965,1996,14500,2015,19800,"7","6","N","N",45.7,27.5
"10621",2019,55,"B68002100000000",1965,0,20400,2015,19800,"7","7","8","N",89.8,34
"10622",2019,55,"B68002200000000",1965,0,20400,2015,24960,"4","4","N","N",50.6,29.2
"10623",2019,55,"B68002500000000",1969,0,6800,2016,14900,"N","N","7","6",53.9,32.4
"10624",2019,55,"B68002700000000",1970,0,3065,2015,3371,"7","7","8","N",49,32.4
"10625",2019,55,"B68002900000000",1927,1972,3800,2018,6440,"4","4","8","N",49,32.4
"10626",2019,55,"B68003000000000",1973,0,2700,2016,3970,"7","7","8","N",47.4,21.1
"10627",2019,55,"B68003100000000",1976,0,4500,2016,22870,"6","7","8","N",53.9,32.4
"10628",2019,55,"B68003200000000",1983,0,4000,2015,5100,"6","8","8","N",53.9,34
"10629",2019,55,"B68003300000000",1978,0,204,2015,224,"6","6","8","N",58.8,35.6
"10630",2019,55,"B68003400000000",1983,0,2900,2015,5100,"N","N","6","6",53.9,32.4
"10631",2019,55,"B68003500000000",1979,0,173,2015,190,"8","8","8","N",73.5,37.3
"10632",2019,55,"B68003700000000",1981,0,331,2015,364,"7","7","8","N",65.3,29.2
"10633",2019,55,"B68003800000000",1985,0,7400,2015,13010,"N","N","6","6",53.9,32.4
"10634",2019,55,"B68003900000000",1982,0,306,2015,336,"7","8","8","N",50.6,24.3
"10635",2019,55,"B68004000000000",1984,0,90,2015,99,"8","8","8","N",58.8,34
"10636",2019,55,"B68004100000000",1984,0,301,2015,331,"7","7","8","N",52.3,30.8
"10637",2019,55,"B68004200000000",1984,0,356,2015,391,"7","7","8","N",49,29.2
"10638",2019,55,"B68004300000000",1985,0,552,2015,607,"7","7","8","N",62.1,37.3
"10639",2019,55,"B68004400000000",1984,0,231,2015,254,"7","7","8","N",52.3,25.9
"10640",2019,55,"B68004500000000",1986,0,155,2015,170,"N","N","8","7",53.9,32.4
"10641",2019,55,"B68004600000000",1986,0,140,2015,154,"N","N","8","7",53.9,32.4
"10642",2019,55,"B68004700000000",1989,0,1449,2015,1593,"N","N","8","7",53.9,32.4
"10643",2019,55,"B68004800000000",1988,0,45,2015,49,"N","N","8","8",53.9,32.4
"10644",2019,55,"B68004900000000",1990,0,7035,2015,7738,"8","8","8","N",53.9,35.6
"10645",2019,55,"B68005000000000",1990,0,3100,2015,9030,"6","7","N","N",53.9,32.4
"10646",2019,55,"B68005100000000",1990,0,5400,2015,6940,"7","8","8","N",65.3,40.5
"10647",2019,55,"B68005200000000",1990,0,4100,2015,5420,"N","N","6","6",53.9,32.4
"10648",2019,55,"B68005300000000",1990,0,2142,2015,2356,"7","7","8","N",73.5,43.7
"10649",2019,55,"B68005400000000",1990,0,60,2015,66,"8","8","8","N",70.2,40.5
"10650",2019,55,"B68005500000000",1991,0,341,2015,375,"8","8","8","N",55.5,38.9
"10651",2019,55,"B68005600000000",1990,0,135,2015,148,"7","7","8","N",73.5,43.7
"10652",2019,55,"B68005700000000",1990,0,723,2015,795,"7","7","8","N",63.7,38.9
"10653",2019,55,"B68005800000000",1990,0,552,2015,607,"7","7","7","N",78.4,47
"10654",2019,55,"B68005900000000",1990,0,5,2015,5,"7","7","8","N",78.4,47
"10655",2019,55,"B68006000000000",1993,0,538,2015,591,"8","8","8","N",65.3,38.9
"10656",2019,55,"B68006100000000",1994,0,5854,2015,6439,"7","7","8","N",73.5,38.9
"10657",2019,55,"B68006200000000",1993,0,65,2015,71,"7","7","8","N",60.4,35.6
"10658",2019,55,"B68006300000000",1993,0,30,2015,31,"8","8","8","N",53.9,37.3
"10659",2019,55,"B68006400000000",1993,0,281,2015,309,"7","7","8","N",65.3,38.9
"10660",2019,55,"B68006500000000",1993,0,55,2015,56,"8","8","8","N",58.8,34
"10661",2019,55,"B68006600000000",1998,0,2400,2015,4450,"7","7","7","N",58.8,35.6
"10662",2019,55,"B68006700000000",1993,0,2700,2015,3970,"7","8","6","N",76.7,35.6
"10663",2019,55,"B68006800000000",1996,0,1600,2016,1680,"6","6","7","N",75.1,43.7
"10664",2019,55,"B68006900000000",1996,0,1600,2016,1480,"7","7","7","N",70.2,40.5
"10665",2019,55,"B68007000000000",1994,0,316,2015,347,"8","8","8","N",68.6,40.5
"10666",2019,55,"B68007100000000",2009,0,7000,2015,8800,"7","8","N","N",99.9,48.6
"10667",2019,55,"B68007200000000",1996,0,5800,2015,12600,"7","7","8","N",53.9,37.3
"10668",2019,55,"B68007300000000",1996,0,14500,2015,12135,"7","6","N","N",68.6,40.5
"10669",2019,55,"B68007400000000",1996,0,18000,2018,24270,"6","7","N","N",68.6,37.3
"10670",2019,55,"B68007500000000",1996,0,20400,2015,24960,"7","8","8","N",63.7,34
"10671",2019,55,"B68007600000000",1996,0,20400,2015,12480,"6","6","N","N",57.2,34
"10672",2019,55,"B68007700000000",1996,0,18000,2018,12480,"6","7","N","N",68.6,34
"10673",2019,55,"B68007800000000",1996,0,1315,2015,1446,"7","7","8","N",81.6,48.6
"10674",2019,55,"B68008100000000",1996,0,1200,2016,1480,"6","6","7","N",70.2,40.5
"10675",2019,55,"B68008200000000",1996,0,1140,2016,1340,"7","7","8","N",63.7,37.3
"10676",2019,55,"B68008300000000",1998,0,8700,2015,12200,"6","7","N","N",63.7,34
"10677",2019,55,"B68008400000000",1998,0,8800,2015,12200,"7","7","N","N",65.3,37.3
"10678",2019,55,"B68008500000000",1997,0,20,2015,21,"8","8","7","N",62.1,35.6
